"Abramis.ballerus" "Abramis.bjoerkna" "Abramis.brama" "Alburnoides.bipunctatus" "Alburnus.alburnus" "Aspius.aspius" "Barbatula.barbatula" "Barbus.barbus" "Carassius.carassius" "Carassius.gibelio" "Chondrostoma.nasus" "Cobitis.taenia" "Cottus.gobio" "Cyprinus.carpio" "Esox.lucius" "Eudontomyzon.mariae" "Gobio.gobio" "Gymnocephalus.cernuus" "Lampetra.fluviatilis" "Lampetra.planeri" "Leucaspius.delineatus" "Leuciscus.cephalus" "Leuciscus.idus" "Leuciscus.leuciscus" "Lota.lota" "Misgurnus.fossilis" "Perca.fluviatilis" "Phoxinus.phoxinus" "Pungitius.pungitius" "Rhodeus.amarus" "Romanogobio.vladykovi" "Rutilus.rutilus" "Salmo.trutta.fario" "Salmo.trutta.trutta" "Sander.lucioperca" "Scardinius.erythrophthalmus" "Silurus.glanis" "Thymallus.thymallus" "Tinca.tinca"
"PL02S1301_1137" 0 0 0 0 1 0 0 0 0 130 0 0 0 0 1 0 18 0 0 0 0 46 0 0 0 0 2 0 0 11 0 2 0 0 0 0 0 0 1
"PL02S1301_1140" 0 0 0 0 0 0 0 0 0 2 0 3 0 0 0 0 4 0 0 0 0 5 0 0 0 0 11 0 0 9 0 97 0 0 0 8 0 0 25
"PL02S1301_1196" 0 0 3 0 0 0 1 0 0 7 0 0 0 0 4 0 6 0 0 1 0 3 0 38 0 3 1 0 0 0 0 0 0 0 0 0 0 0 2
"PL02S1301_1198" 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 2 37 0 0 0 0 68 2 13 0 0 1 0 0 0 0 84 0 0 0 0 0 0 1
"PL02S1301_1199" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 4 1 14 0 0 0 0 6 10 2 0 0 5 0 0 0 0 51 0 0 0 0 0 0 0
"PL02S1301_1200" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 38 0 0 0 0 11 6 6 0 0 1 0 0 0 0 158 0 0 1 0 0 0 1
"PL02S1301_1203" 0 0 0 0 0 0 8 0 0 0 0 0 0 0 1 0 9 0 0 0 0 0 0 0 0 0 1 0 0 0 0 37 0 0 0 0 0 0 0
"PL02S1301_1211" 0 0 0 2 17 0 24 1 0 0 0 0 0 0 0 1 11 0 0 5 0 27 0 2 0 0 9 0 0 10 0 0 0 0 0 0 0 0 0
"PL02S1301_1214" 0 0 0 5 2 0 16 0 0 0 0 0 0 0 0 4 19 0 0 3 0 29 0 13 1 0 0 0 0 0 0 12 7 0 0 0 0 0 0
"PL02S1301_3194" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 42 0 0 0 4 0 0 2
"PL02S1301_3503" 0 0 0 0 0 0 58 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PL02S1301_3514" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0
