"Geology" "Gem_typ" "LUses" "order" "elev" "Cond_Gl" "Dischrg" "Mn_Ar_T" "AGR" "FR" "UR"
"CHE-366692" "Sediments" "Straight" "Agriculture" 4 492 2 1e-05 48.67361 0.990566037735849 0.00943396226415094 0
"CHE-294403" "Sediments" "Straight" "Agriculture" 2 491 2 0.00011 54.3448 0.981308411214953 0.0186915887850467 0
"CHE-272732" "Sediments" "Sinuous" "HumidAreas" 6 379 2.438905 0.0154 62.20331 0.4858934169279 0.5141065830721 0
"CHE-293099" "Sediments" "Sinuous" "Agriculture" 3 564 1.910255 0.00077 72.8603 0.521875 0.478125 0
"CHE-104689" "Sediments" "Straight" "Forest_NoConif" 4 1340 1.74074 0.00099 99.13097 0 1 0
"CHE-290863" "Sandstones" "Straight" "Shrubs" 4 624 1 0 55.87988 0.172413793103448 0.827586206896552 0
"CHE-383878" "Shales" "Straight" "Forest_NoConif" 4 713 4 0.00167 40.395 0.05625 0.94375 0
"CHE-294191" "Sediments" "Sinuous" "Forest_NoConif" 3 478 2 0.00158 62.21948 0.780564263322884 0.219435736677116 0
"CHE-295278" "Sediments" "Straight" "Forest_Plantation" 4 465 1.990195 0.0051 69.92526 0.80564263322884 0.19435736677116 0
"CHE-307411" "Sediments" "Sinuous" "Pasture" 3 805 1.98616 0.00199 78.42382 0.435736677115987 0.476489028213166 0.0877742946708464
"CHE-359241" "Calcareous" "Straight" "Forest_NoConif" 2 801 3.838415 8e-05 30.58152 0 1 0
"CHE-290410" "Sandstones" "Straight" "Agriculture" 4 572 1 6e-05 59.33611 0.347962382445141 0.652037617554859 0
"CHE-359520" "Sediments" "Straight" "Forest_Plantation" 4 472 2 0.00515 48.11922 0.831775700934579 0 0.168224299065421
"CHE-320605" "Calcareous" "Straight" "Forest_NoConif" 2 505 3 0.00104 50.26535 0.0125786163522013 0.987421383647799 0
"CHE-381774" "Shales" "Sinuous" "Forest_NoConif" 5 605 4 0.00807 38.57476 0.0996884735202492 0.900311526479751 0
"CHE-300717" "Sediments" "Sinuous" "Forest_NoConif" 4 660 1.953405 0.00372 73.12994 0.025 0.975 0
"CHE-306944" "Sandstones" "Straight" "Forest_Conif" 3 1108 1 0.00043 87.47895 0 1 0
"CHE-320450" "Sediments" "Straight" "Agriculture" 4 470 2 1e-05 69.39706 0.798761609907121 0.201238390092879 0
"CHE-366681" "Sediments" "Sinuous" "HumidAreas" 7 476 1.892155 0.01929 48.67361 0.60625 0.2875 0.10625
"CHE-271663" "Shales" "Straight" "Forest_Plantation" 3 484 2 0.00102 61.05249 0.895238095238095 0.104761904761905 0
"CHE-101543" "Sediments" "Straight" "Forest_NoConif" 3 1371 2 0 99.85681 0.0341614906832298 0.96583850931677 0
"CHE-104514" "Sediments" "Straight" "Forest_NoConif" 4 1205 1.596385 0.00127 98.27734 0.206896551724138 0.793103448275862 0
"CHE-292968" "Sandstones" "Straight" "Shrubs" 3 541 1.101185 0.00094 68.29977 0.220496894409938 0.779503105590062 0
"CHE-294002" "Sediments" "Straight" "Pasture" 4 453 2.183675 0.00692 67.02049 0.713836477987421 0.286163522012579 0
"CHE-290712" "Sediments" "Straight" "Forest_NoConif" 4 583 1.83843 0.00397 73.53259 0.372239747634069 0.627760252365931 0
"CHE-64333" "Sediments" "Straight" "Forest_Conif" 4 1389 2 0 114.21349 0 1 0
